yueyiran@DESKTOP-OHHDFET:/mnt/c/Users/lenovo/final-src-osc10e/final-src-osc10e/ch10$ sh test.sh
Compiling
Running vm
Comparing with correct.txt
1,1000c1,1000
< Virtual_Address: 33134, Physical_Address: 53614, Value: 32
< Virtual_Address: 28483, Physical_Address: 27971, Value: -48
< Virtual_Address: 1220, Physical_Address: 40900, Value: 0
< Virtual_Address: 38174, Physical_Address: 20254, Value: 37
< Virtual_Address: 53502, Physical_Address: 35582, Value: 52
< Virtual_Address: 43328, Physical_Address: 29504, Value: 0
< Virtual_Address: 4970, Physical_Address: 13674, Value: 4
< Virtual_Address: 8090, Physical_Address: 33946, Value: 7
< Virtual_Address: 2661, Physical_Address: 53861, Value: 0
< Virtual_Address: 53903, Physical_Address: 54159, Value: -93
< Virtual_Address: 11025, Physical_Address: 39953, Value: 0
< Virtual_Address: 26627, Physical_Address: 42499, Value: 0
< Virtual_Address: 18117, Physical_Address: 18885, Value: 0
< Virtual_Address: 14505, Physical_Address: 5801, Value: 0
< Virtual_Address: 61528, Physical_Address: 23128, Value: 0
< Virtual_Address: 20423, Physical_Address: 16839, Value: -15
< Virtual_Address: 26962, Physical_Address: 26962, Value: 26
< Virtual_Address: 36392, Physical_Address: 14376, Value: 0
< Virtual_Address: 11365, Physical_Address: 54373, Value: 0
< Virtual_Address: 50882, Physical_Address: 26306, Value: 49
< Virtual_Address: 41668, Physical_Address: 41924, Value: 0
< Virtual_Address: 30497, Physical_Address: 16161, Value: 0
< Virtual_Address: 36216, Physical_Address: 54648, Value: 0
< Virtual_Address: 5619, Physical_Address: 21747, Value: 124
< Virtual_Address: 36983, Physical_Address: 18295, Value: 29
< Virtual_Address: 59557, Physical_Address: 26021, Value: 0
< Virtual_Address: 36663, Physical_Address: 35639, Value: -51
< Virtual_Address: 36436, Physical_Address: 14420, Value: 0
< Virtual_Address: 37057, Physical_Address: 18369, Value: 0
< Virtual_Address: 23585, Physical_Address: 54817, Value: 0
< Virtual_Address: 58791, Physical_Address: 55207, Value: 105
< Virtual_Address: 46666, Physical_Address: 55370, Value: 45
< Virtual_Address: 64475, Physical_Address: 5083, Value: -10
< Virtual_Address: 21615, Physical_Address: 52335, Value: 27
< Virtual_Address: 41090, Physical_Address: 8834, Value: 40
< Virtual_Address: 1771, Physical_Address: 43755, Value: -70
< Virtual_Address: 47513, Physical_Address: 32153, Value: 0
< Virtual_Address: 39338, Physical_Address: 55722, Value: 38
< Virtual_Address: 1390, Physical_Address: 51566, Value: 1
